qid,context_id,score,rank,method,latency_ms
qh0001,ch000001,0.99997953706717,1,bge,3.662361762998626
qh0001,ch000004,0.9996214963437557,2,bge,3.662361762998626
qh0001,ch000006,0.9991768614118112,3,bge,3.662361762998626
qh0001,ch000005,0.998231648313891,4,bge,3.662361762998626
qh0001,ch000007,0.9980353385604862,5,bge,3.662361762998626
qh0001,ch000002,0.9971550903350206,6,bge,3.662361762998626
qh0001,ch000003,0.9945519319148104,7,bge,3.662361762998626
qh0001,ch000010,0.9933071490757153,8,bge,3.662361762998626
qh0001,ch000008,0.9878058669624095,9,bge,3.662361762998626
qh0001,ch000009,1.6314540139585704e-05,10,bge,3.662361762998626
qh0002,ch000011,0.999979854309147,1,bge,3.662361762998626
qh0002,ch000016,0.9814178501043472,2,bge,3.662361762998626
qh0002,ch000012,0.9543930566810523,3,bge,3.662361762998626
qh0002,ch000013,0.14426937338303258,4,bge,3.662361762998626
qh0002,ch000014,0.10650458901723904,5,bge,3.662361762998626
qh0002,ch000017,9.610241549947396e-05,6,bge,3.662361762998626
qh0002,ch000015,8.750299760661308e-05,7,bge,3.662361762998626
qh0002,ch000019,8.750299760661308e-05,8,bge,3.662361762998626
qh0002,ch000020,7.311254328107719e-05,9,bge,3.662361762998626
qh0002,ch000018,6.302758756443266e-05,10,bge,3.662361762998626
qh0003,ch000021,0.9999775259101457,1,bge,3.662361762998626
qh0003,ch000026,0.9999369724124355,2,bge,3.662361762998626
qh0003,ch000028,0.9998696702575076,3,bge,3.662361762998626
qh0003,ch000023,0.999523438689581,4,bge,3.662361762998626
qh0003,ch000027,0.9970650482552862,5,bge,3.662361762998626
qh0003,ch000025,0.9970305547046259,6,bge,3.662361762998626
qh0003,ch000022,0.9955662347993564,7,bge,3.662361762998626
qh0003,ch000029,0.9954438862855455,8,bge,3.662361762998626
qh0003,ch000024,0.9924520766240994,9,bge,3.662361762998626
qh0003,ch000030,0.9863631647185701,10,bge,3.662361762998626
qh0004,ch000031,0.9999793765777086,1,bge,3.662361762998626
qh0004,ch000033,0.9986276313099476,2,bge,3.662361762998626
qh0004,ch000032,0.9882221573114803,3,bge,3.662361762998626
qh0004,ch000037,0.9847524093785005,4,bge,3.662361762998626
qh0004,ch000036,0.9530133603823691,5,bge,3.662361762998626
qh0004,ch000034,0.5297043595441621,6,bge,3.662361762998626
qh0004,ch000035,0.07572137207533139,7,bge,3.662361762998626
qh0004,ch000038,0.0009584648438362854,8,bge,3.662361762998626
qh0004,ch000040,2.5666134302273185e-05,9,bge,3.662361762998626
qh0004,ch000039,2.1278066059305977e-05,10,bge,3.662361762998626
qh0005,ch000041,0.9999787219339408,1,bge,3.662361762998626
qh0005,ch000044,0.9967269350293284,2,bge,3.662361762998626
qh0005,ch000047,0.5758861870160151,3,bge,3.662361762998626
qh0005,ch000049,0.25683199138751883,4,bge,3.662361762998626
qh0005,ch000045,0.0037072528743862213,5,bge,3.662361762998626
qh0005,ch000042,0.0015978454940173438,6,bge,3.662361762998626
qh0005,ch000048,0.0007437028637763686,7,bge,3.662361762998626
qh0005,ch000043,0.00012830942637841788,8,bge,3.662361762998626
qh0005,ch000046,0.00012632042438707805,9,bge,3.662361762998626
qh0005,ch000050,1.6314540139585704e-05,10,bge,3.662361762998626
qh0006,ch000051,0.9999788875176685,1,bge,3.662361762998626
qh0006,ch000055,0.999649931385023,2,bge,3.662361762998626
qh0006,ch000052,0.9994536579107853,3,bge,3.662361762998626
qh0006,ch000053,0.9993201571055714,4,bge,3.662361762998626
qh0006,ch000058,0.9989637331117535,5,bge,3.662361762998626
qh0006,ch000057,0.9935618974445167,6,bge,3.662361762998626
qh0006,ch000056,0.9930693283432538,7,bge,3.662361762998626
qh0006,ch000054,0.9900250791759213,8,bge,3.662361762998626
qh0006,ch000059,1.9679025610662346e-05,9,bge,3.662361762998626
qh0006,ch000060,1.670142184809518e-05,10,bge,3.662361762998626
qh0007,ch000061,0.9999788875176685,1,bge,3.662361762998626
qh0007,ch000068,0.9988530841674523,2,bge,3.662361762998626
qh0007,ch000067,0.9987886935494876,3,bge,3.662361762998626
qh0007,ch000062,0.9980505978724697,4,bge,3.662361762998626
qh0007,ch000066,0.9927391335017144,5,bge,3.662361762998626
qh0007,ch000065,0.9888849862785224,6,bge,3.662361762998626
qh0007,ch000063,0.9705764200363561,7,bge,3.662361762998626
qh0007,ch000064,0.0024726231566347743,8,bge,3.662361762998626
qh0007,ch000070,1.7366719305164412e-05,9,bge,3.662361762998626
qh0007,ch000069,1.696442651054333e-05,10,bge,3.662361762998626
qh0008,ch000071,0.9998893884028537,1,bge,3.662361762998626
qh0008,ch000080,0.00013135179706526775,2,bge,3.662361762998626
qh0008,ch000073,4.3658779593871325e-05,3,bge,3.662361762998626
qh0008,ch000074,3.426849054255501e-05,4,bge,3.662361762998626
qh0008,ch000072,2.668852957262856e-05,5,bge,3.662361762998626
qh0008,ch000075,2.43002407432796e-05,6,bge,3.662361762998626
