qid,context_id,score,rank,method,latency_ms
qh0001,ch000006,0.6969003677368164,1,tiny_cross_encoder,0.030913364700973035
qh0001,ch000009,0.364716112613678,2,tiny_cross_encoder,0.030913364700973035
qh0001,ch000010,0.1870822161436081,3,tiny_cross_encoder,0.030913364700973035
qh0001,ch000007,0.06538762152194977,4,tiny_cross_encoder,0.030913364700973035
qh0001,ch000008,0.05873965844511986,5,tiny_cross_encoder,0.030913364700973035
qh0001,ch000002,0.04349904507398605,6,tiny_cross_encoder,0.030913364700973035
qh0001,ch000001,0.03697054088115692,7,tiny_cross_encoder,0.030913364700973035
qh0001,ch000005,0.0023665528278797865,8,tiny_cross_encoder,0.030913364700973035
qh0001,ch000003,0.0008678316371515393,9,tiny_cross_encoder,0.030913364700973035
qh0001,ch000004,0.00016340923320967704,10,tiny_cross_encoder,0.030913364700973035
qh0003,ch000025,0.0635402724146843,1,tiny_cross_encoder,0.030913364700973035
qh0003,ch000021,0.025744730606675148,2,tiny_cross_encoder,0.030913364700973035
qh0003,ch000028,0.012475445866584778,3,tiny_cross_encoder,0.030913364700973035
qh0003,ch000024,0.0007136096828617156,4,tiny_cross_encoder,0.030913364700973035
qh0003,ch000030,0.00040884033660404384,5,tiny_cross_encoder,0.030913364700973035
qh0003,ch000027,0.00031779162236489356,6,tiny_cross_encoder,0.030913364700973035
qh0003,ch000026,0.00014770403504371643,7,tiny_cross_encoder,0.030913364700973035
qh0003,ch000029,0.00013715020031668246,8,tiny_cross_encoder,0.030913364700973035
qh0003,ch000022,9.03636755538173e-05,9,tiny_cross_encoder,0.030913364700973035
qh0003,ch000023,8.177953714039177e-05,10,tiny_cross_encoder,0.030913364700973035
qh0010,ch000099,0.32931533455848694,1,tiny_cross_encoder,0.030913364700973035
qh0010,ch000097,0.1512330025434494,2,tiny_cross_encoder,0.030913364700973035
qh0010,ch000096,0.06471455842256546,3,tiny_cross_encoder,0.030913364700973035
qh0010,ch000093,0.02757299318909645,4,tiny_cross_encoder,0.030913364700973035
qh0010,ch000091,0.01739070750772953,5,tiny_cross_encoder,0.030913364700973035
qh0010,ch000095,0.00825398601591587,6,tiny_cross_encoder,0.030913364700973035
qh0010,ch000092,0.0017521565314382315,7,tiny_cross_encoder,0.030913364700973035
qh0010,ch000098,0.0012992981355637312,8,tiny_cross_encoder,0.030913364700973035
qh0010,ch000094,0.0005022428813390434,9,tiny_cross_encoder,0.030913364700973035
qh0010,ch000100,0.00019583912217058241,10,tiny_cross_encoder,0.030913364700973035
